StageName,DOW,BirthLast,BirthFirst,Gender,DOB,DOD,Type,Country
Edward Lexy,1937-1958,Little,Edward Gerald,M,1897,,R:character,british
Viola Leyel,,,,F,,,unknown,unknown
John Leyton,1963-1966,Leyton,John,M,1939,,R:dramatic roles,british
Brian Libby,,,,M,,,unknown,unknown
Liberace,1965,bn,gn,M,,,R:singer,USA
Anne Libert,,,,F,,,unknown,unknown
Jeremy Licht,,,,M,,,unknown,unknown
Mitchell Lichtenstein,,,,M,,,unknown,unknown
Anki Liden,,,,F,,,unknown,unknown
Ron Liebman,,,,M,,,unknown,unknown
Lo Lieh,,,,,,,unknown,unknown
Albert Lieven,1937-1965,Lieven,Albert,M,1906,,unknown,german
Gordon Lightfoot,,,,M,,,unknown,unknown
Beatrice Lillie,1926-1967,Munston,Constance Sylvia,F,1898,,"R:sharp-faced, mischievous",british
Elmo Lincoln,1914-1919,Linkenhelter,Otto Elmo,M,1889,,R:silent hero,USA
Gunnel Lindblom,1956-1971,Lindblom,Gunnel,F,1931,,R:lead,\Sw
Eric Linden,1932-1939,Linden,Eric,M,1909,,R:juvenile lead,\Sw-\Am
Hal Linden,,Lipshitz,Harold,M,1932,,unknown,USA
Jennie Linden,1963-1977,Linden,Jennie,F,1939,,R:lead,british
Cec Linder,1959-1974,Linder,Cec,M,1921,,R:character,canada
Max Linder,1907-1925,Leuvielle,Gabriel,M,1883,,R:dapper silent comedian,french
Viveca Lindfors,1947-1982,Lindfors,Viveca,F,1920,,unknown,\Sw
Audra Lindley,1972-1982,Lindley,Audra,F,,,R:character,USA
Olga Lindo,1932-1959,Lindo,Olga,F,1898,,R:character,\Br-\No
Margaret Lindsay,1932-1963,Kies,Margaret,F,1910,,R:lead,USA
Mark LinnBaker,,,,M,,,unknown,unknown
L\'eon M. Lion,1932,,,M,,,unknown,unknown
Eugene Lipinski,,,,M,,,unknown,unknown
Dennis Lipscomb,,,,M,,,unknown,unknown
Virna Lisi,1963-1978,Pieralisi,Virna,F,1937,,R:voluptuous,italian
Francis Lister,1924-1951,Lister,Francis,F,1899,,R:character,british
Moira Lister,1944-1967,Lister,Moira,F,1923,,R:lead and character,south african
John Litel,1929-1965,Litel,John,M,1895,,R:character,USA
John Lithgow,,,,M,,,unknown,unknown
Ann Little,1918,,,DM,,,R:innocent,USA
Cleavon Little,1968-1972,Little,Cleavon,M,1939,,R:lithe comedy actor,USA
Lucien Littlefield,1922-1956,Littlefield,Lucien,M,1895,,R:character,USA
Jack Livesey,1933-1951,Livesey,Jack,M,1901,,unknown,british
Roger Livesey,1920-1970,Livesey,Roger,M,1906,,"R:husky-voiced, roguish",british
Sam Livesey,1930-1937,Livesey,Sam,M,1873,,unknown,british
Margaret Livingston,1918-1934,Livingston,Margaret,F,1900,,R:silent lead,USA
Stanley Livingston,,,,M,,,unknown,unknown
Desmond Llewellyn,,,,M,,,unknown,unknown
Christopher Lloyd,,,,M,,,unknown,unknown
Doris Lloyd,1930-1967,Lloyd,Doris,F,1899,,R:lady,british
Emily Lloyd,1987,Lloyd,Emily,F,,,R:sexy,british
Harold Lloyd,1921-1947,Lloyd,Harold,M,1893,,R:timid bespectacled `nice' boy,USA
Kathleen Lloyd,,,,F,,,unknown,unknown
Norman Lloyd,1932-1982,Lloyd,Norman,M,1914,,R:mean,british
Charles Lloyd-Pack,1951-1972,Pack,Charles,M,1905,,R:self-effacing roles,british
Tony LoBianco,1970,LoBianco,Tony,M,,,R:character,USA
Philip Locke,,,,M,,,unknown,unknown
Sondra Locke,1976-1990,Locke,Sondra,F,1947,,R:lead,USA
Calvin Lockhart,1968-1974,Lockhart,Calvin,M,1934,,R:lead,W. \In
Gene Lockhart,1922-1957,Lockhart,Gene,M,1891,,"R:musician, genial, shifty parts",canada
June Lockhart,1940-1968,Lockhart,June,F,1925,,R:supporting,USA
Kathleen Lockhart,1936-1954,Lockhart,Kathleen,F,1893,,R:character,USA
Heather Locklear,,,,F,,,unknown,unknown
Gary Lockwood,1961-1977,Yusolfsky,John Gary,M,1937,,R:lead,USA
Margaret Lockwood,1935-1976,Day,Margaret,F,1916,,"R:durable, indomitable",british
Barbara Loden,1981,Loden,Barbara,F,,,R:sr,\Ct
John Loder,1929-1958,Lowe,John,M,1898,,R:lead,british
David Lodge,1956-1974,Lodge,David,M,1922,,R:character,british
John Lodge,1932-1939,Lodge,John,M,1903,,R:lead,USA
Jaqueline Logan,,,,F,,,unknown,unknown
Robert F. Logan,1969-1978,Logan,Robert,M,,,R:brawny hero,USA
Robert Loggia,1956-1983,Loggia,Robert,M,1930,,R:lead,USA
Marie Lohr,1932-1956,Lohr,Marie,F,1890,,R:distinguished,australian
Gina Lollobrigida,1947-1976,Lollobrigida,Gina,F,1927,,R:wholesome sexpot,italian
Herbert Lom,1940-1983,\BN{Kuchacevich ze Schluderpacheru,\FN{Herbert Charles Angelo,M,1917,,R:villain or kind,czechoslovakian
Herbert Lomas,1932-1953,Lomas,Herbert,M,1887,,"R:gaunt, hollow-voiced",british
Karina Lombard,1993,Lombard,Karina,F,1969,,R:sexy,USA
Carole Lombard,1921-1942,Peters,Jane,F,1908,,R:charming screwball,USA
Sol Lomita,,,,M,,,unknown,unknown
Julie London,1926,Peck,Julie,F,1926,,R:singer,USA
John Lone,,,,M,,,unknown,unknown
Audrey Long,1944-1952,Long,Audrey,F,1924,,R:lead,USA
Avon Long,,,,M,,,unknown,unknown
Richard Long,1944-1973,Long,Richard,M,1927,,R:lead,USA
Shelley Long,,,,,,,unknown,unknown
Walter Long,1916-1937,Long,Walter,M,1879,,"R:burly, evil-faced",USA
John Longden,1929-1960,Longden,John,M,1900,,"R:lead, character",british
Terence Longden,1952-1965,Longden,Terence,M,1922,,R:secondary roles,british
Claudine Longet,,,,F,,,unknown,unknown
Ray Lonnen,,,,M,,,unknown,unknown
Michel Lonsdale,1960-1982,Lonsdale,Michael,M,1931,,R:chubby character,french
Richard Loo,1931-1971,Loo,Richard,M,1903,,R:oriental roles,\Am(Ha-Ch)
Herbert Loom,,,,M,,,unknown,unknown
Nancy Loomis,,,,F,,,unknown,unknown
Rod Loomis,,,,F,,,unknown,unknown
Gerry Lopez,,,,,,,unknown,unknown
Perry Lopez,,,,M,,,unknown,unknown
Trini Lopez,1966-1973,Lopez,Trini,M,1933,,R:character,USA
Gail Lorber,,,,F,,,unknown,unknown
Jack Lord,1951-1979,Ryan,John Joseph,M,1922,,R:craggy-faced,USA
Marjorie Lord,1938-1966,Lord,Marjorie,F,1922,,R:lead,USA
Pauline Lord,1935-1936,Lord,Pauline,F,1890,,unknown,USA
Traci Lords,1980-1990,,,F,,,R:porn,
Tony Lorea,,,,M,,,unknown,unknown
Sophia Loren,1953-1980,Scicoloni,Sophia,F,1934,,R:sexy,italian
Marion Lorne,1951-1968,MacDougal,M.L.,F,1886,,R:character comedienne,USA
Peter Lorre,1929-1964,"L\""owenstein",Laszlo,M,1904,,R:heavy,hungary
Joan Lorring,1941-1954,Ellis,Magdalen,F,1926,,R:nasty teenager,\Br-\Ru
Tilly Losch,1936-1946,Losch,Tilly,F,1901,,R:exotic dancer,austria
Bill Louie,,,,M,,,unknown,unknown
Joe Louis,,,,M,,,unknown,unknown
Willard Louis,,,,M,,,unknown,unknown
Anita Louise,1930-1956,Fremault,Anita Louise,F,1915,,R:gentle roles,USA
Tina Louise,1958-1978,Louise,Tina,F,1934,,R:statuesque lead,USA
Bessie Love,1915-1976,Horton,Juanita,F,1898,,"R:vivacious, petite",USA
Montagu Love,1916-1944,Love,Montagu,M,1877,,"R:heavily built, stern father",british
Phyllis Love,,,,F,,,unknown,unknown
Frank Lovejoy,1948-1958,Lovejoy,Frank,M,1912,,R:tough roles,USA
Linda Lovelace,1972,Marchiano,Linda,F,1952,,"R:lead, porno",USA
Dyson Lovell,,Lovell,Dyson,M,,,R:ty,british
Raymond Lovell,1934-1953,Lovell,Raymond,M,1900,,R:pompous or sinister,canada
Lyle Lovett,1990-1998,Lovett,Lyle,M,1958,,R:\Agt,\US
Arthur Lowe,1948-1979,Lowe,Arthur,M,1914,,R:rotund,british
Edmund Lowe,1917-1960,Lowe,Edmund,M,1890,,R:suave lead,USA
Rob Lowe,,,,M,,,unknown,unknown
Carrie Lowell,,Lowell,Carey,F,1964,,unknown,USA
Robert Lowery,1937-1966,Hanks,R.L.,M,1916,,R:lead,USA
Lynn Lowry,,,,F,,,unknown,unknown
Morton Lowry,1939-1945,Lowry,Morton,M,1908,,R:character,british
Myrna Loy,1926-1981,Williams,Myrna,F,1905,,"R:villain, comedy, warm",USA
Lisa Lu,,,,F,,,unknown,unknown
Antonella Lualdi,1952-1975,dePasquale,Antoinetta,F,1931,,R:lead,italian
Arthur Lucan,1935-1952,Towle,Arthur,M,1887,,R:comedian,british
Lisa Lucas,,,,F,,,unknown,unknown
Wilfred Lucas,1955-1963,Lucas,Wilfred,M,1926,,R:lead,british
Deborah Luce,,,,F,,,unknown,unknown
Corinne Luchaire,1938-1938,Luchaire,Corinne,F,1921,,unknown,french
Laurence Luckinbill,1970-1980,Luckinbill,Laurence,M,1934,,R:lead,USA
Charles Ludlam,1971,Ludlam,Charles,M,19aa,,R:sr,\Ct
Lorna Luft,,,,F,,,unknown,unknown
Bela Lugosi,1923-1956,Blasko,Bela Ferenc,M,1882,,R:dracula,hungary
Paul Lukas,1928-1968,Lukacs,Pal,M,1887,,R:suave lead,hungary
Jorge Luke,,,,M,,,unknown,unknown
Keye Luke,1934-1978,Luke,Keye,M,1904,,unknown,\Ch-\Am
Aldrick Lukes,,,,M,,,unknown,unknown
Folco Lulli,1947-1966,Lulli,Folco,M,1912,,R:character,italian
Lulu,1965-1972,Lawrie,Marie,F,1948,,R:pop singer,british
Joanna Lumley,1968-1983,Lumley,Joanna,F,1946,,R:lead,british
Dayton Lummis,1952-1956,Lummis,Dayton,M,1903,,R:character,USA
Barbara Luna,1960-1969,Luna,Barbara,F,1937,,R:beautiful foreigners,USA
Art Lund,1968,London,Arthur,M,1915,,R:big,
John Lund,1946-1960,Lund,John,M,1913,,R:stodgy,USA
Alfred Lunt,1923-1943,Lund,Alfred,M,1892,,R:distinguished,USA
Ida Lupino,1933-1976,Lupino,Ida,F,1914,,R:fraught attractive,british
Stanley Lupino,1932-1939,Lupino,Stanley,M,1893,,R:comedian,british
Paul Lupone,,,,M,,,unknown,unknown
Alfred Lutter,,,,M,,,unknown,unknown
Thuy An Luu,1981,,,F,1967,,R:tootsie,
Jimmy Lydon,1938-1958,Lydon,James,M,1923,,R:gangling,USA
Viola Lyel,1930-1956,Lyel,Viola,F,1900,,R:comedy actress,british
Alfred Lynch,1961-1968,Lynch,Alfred,M,1933,,R:cockney private,british
Richard Lynch,1973-1982,Lynch,Richard,M,1936,,R:haughty evil,USA
Paul Lynde,1953-1973,Lynde,Paul,M,1926,,R:flustered funny-voiced,USA
Robert Lynen,1932-1938,Lynen,Robert,M,1921,,R:child,french
Carol Lynley,1958-1983,Lynley,Carol,F,1942,,R:clean,USA
Ann Lynn,1960-1969,Lynn,Ann,F,1934,,unknown,british
Diana Lynn,1939-1971,Loehr,Dolores,F,1926,,"R:pert, witty",USA
Jeffrey Lynn,1938-1967,Lind,Ragnar,M,1909,,R:varied,USA
Leni Lynn,1943-1946,Lynn,Leni,F,1925,,R:singer,USA
Ralph Lynn,1930-1937,Lynn,Ralph,M,1882,,R:silly monocled ass,british
Sharon Lynn,1929-1941,Lynn,Sharon,F,1910,,R:lead,USA
Vera Lynn,1944-1945,Lynn,Vera,F,1921,,R:singer,british
Ben Lyon,1919-1954,Lyon,Ben,M,1901,,R:amiable,USA
Sue Lyon,1962-1978,Lyon,Sue,F,1946,,R:sexy juvenile,USA
Tom Lyons,,,,M,,,unknown,unknown
Bert Lytell,1917-1943,Lytell,Bert,M,1888,,R:silent lead,USA
James MacArthur,1957-1979,MacArthur,James,M,1937,,R:lead,USA
Ralph Macchio,,,,M,,,unknown,unknown
Simon MacCorkindale,1978-1983,MacCorkindale,Simon,M,1952,,R:lead,british
J.Farrell MacDonald,1931-1951,MacDonald,J.Farrell,M,1875,,R:character,USA
Jeanette MacDonald,1929-1932,MacDonald,Jeanette,F,,,R:sweet,USA
Andie MacDowell,,,,,,,unknown,unknown
Niall MacGinnis,1935-1969,MacGinnis,Niall,M,1913,,unknown,ireland
Jack MacGowran,1952-1973,MacGowran,Jack,M,1916,,"R:mean, sharp-featured",ireland
Ali MacGraw,1968-1983,MacGraw,Alice,F,1938,,R:lead,USA
Marlena MacGuire,,,,F,,,unknown,unknown
Stephen Macht,1976-1978,Macht,Stephen,M,,,R:heavy-featured,USA
Helen Mack,1924-1945,Mack,Helen,F,1913,,R:lead,USA
Kerry Mack,,,,M,,,unknown,unknown
Marion Mack,,,,F,,,unknown,unknown
Dorothy Mackaill,1921-1937,Mackaill,Dorothy,F,1903,,R:lead,british
Barry Mackay,1934-1955,Mackay,Barry,M,1906,,R:lead,british
Fulton Mackay,1983,Mackay,Fulton,M,,,unknown,\Ct
Janet MacLachian,,,,F,,,unknown,unknown
Kyle MacLachlan,,,,M,,,R:boyish,
Sandy Mackendrick,,Mackendrick,Alexander,M,1912,,unknown,USA
Kenneth MacKenna,,Mielziner,Leo,M,1899,,R:general purpose,USA
Shirley MacLaine,1956,Beaty,Shirley MacLaine,F,1934,,R:impish dancer,USA
Barton MacLane,1924-1969,MacLane,Barton,M,1900,,"R:crooked cop, sheriff or ganster",USA
Douglass MacLean,1919-1925,MacLean,Douglass,M,1890,,R:silent comedian,USA
Micheal MacLiammoir,1952-1971,MacLiammoir,Micheal,M,1899,,R:character,ireland
Jena Malone,1997,Jena,Malone,F,1984,,R:lonely girl,unknown
Aline MacMahon,1931-1963,MacMahon,Aline,F,1899,,"R:sad-faced, gentle-mannered",USA
Horace MacMahon,1937-1968,MacMahon,Horace,M,1907,,R:character,USA
Fred MacMurray,1934-1978,MacMurray,Fred,M,1907,,"R:likeable, durable",USA
Robert MacNaughton,,,,M,,,unknown,unknown
Patrick MacNee,1943-1984,MacNee,Patrick,M,1922,,R:smooth,british
Kristy MacNichol,,MacNichol,Kristy,F,1976,,R:juvenile,USA
Peter MacNicol,,,,M,,,unknown,unknown
Norman Macowan,1948-1960,Macowan,Norman,M,1877,,R:character,\Br ; Scots
Douglas MacPhail,1936-1942,MacPhail,Douglas,M,1910,,R:singer,USA
Elle MacPherson,1991,MacPherson,Elle,F,1966,,R:model,USA
Jeanie MacPherson,1908-1937,MacPherson,Jeanie,F,1878,,unknown,USA
Duncan Macrae,1947-1967,Macrae,Duncan,M,1905,,R:craggy-faced,\Br(Scot)
Gordon Macrae,1948-1956,Macrae,Gordon,M,1921,,R:singer,USA
Michael Macrae,,,,M,,,unknown,unknown
George Macready,1942-1971,MaCready,George,M,1909,,"R:villain, neurotic or weakling",USA
Bill Macy,1975-1983,Macy,Bill,M,1922,,R:character,USA
William H. Macy,1991-1997,Macy,William H. Macy,M,,,R:character,USA
Donald Madden,1972,,,M,,,unknown,unknown
Peter Madden,1948-1966,Madden,Peter,M,1905,,R:gaunt,british
Victor Maddern,1949-1967,Maddern,Victor,M,1926,,R:stocky,british
Amy Madigan,,,,F,,,unknown,unknown
Guy Madison,1944-1978,Moseley,Robert,M,1922,,R:lead,USA
Noel Madison,1930-1949,Moscovitch,Nathaniel,M,1898,,"R:sinister, ganster",USA
Madonna,1990,Ciccone,fn,F,1959,,R:sexy singer,USA
Patrick Magee,1960-1980,Magee,Patrick,M,1924,,R:sinister,british
Anna Magnani,1934-1969,Magnani,Anna,F,1907,,R:volatile,italian
George Maharis,1960-1982,Maharis,George,M,1928,,R:intense-looking,USA
Jock Mahoney,1949-1978,O\'Mahoney,Jacques,M,1919,,R:athletic,USA
John Mahoney,,,,M,,,unknown,unknown
Marjorie Main,1933-1956,Tomlinson,Mary,F,1890,,R:character,USA
Marne Maitland,1950-1976,Maitland,Marne,M,1920,,R:sinister oriental,\Br-In
Lee Majors,1967-1981,Majors,Lee,F,1940,,R:lead,USA
Eliot Makeham,1932-1956,Makeham,Eliot,M,1882,,R:character,british
Chris Makepeace,,,,,,,unknown,unknown
Mako,1966-1981,,,M,,,R:character,\Ja-\Am
Mala,1932-1952,Wyse,Ray,M,1906,,unknown,Eskimo
Patrick Malahide,,,,M,,,unknown,unknown
John Malcolm,,,,M,,,unknown,unknown
Karl Malden,1940-1983,Sekulovich,Malden,M,1913,,R:police inspector,USA
Laurent Malet,,,,M,,,unknown,unknown
John Malkovich,1989,Malkovich,John,M,,,R:cool lead,USA
Miles Malleson,1931-1965,Malleson,Miles,M,1888,,R:long-lived lead,british
Tania Mallett,,,,F,,,unknown,unknown
Boots Mallory,1932-1937,Mallory,Patricia,F,1913,,R:lead,USA
Gina Malo,1932-1940,Flynn,Janet,F,1909,,R:lead,\Ir-\Ge-\Am
Dorothy Malone,1943-1980,Maloney,Dorothy,F,1925,,R:sultry blonde,USA
Eily Malyon,1934-1946,Malyon,Eily,,1879,,R:character,british
Nick Mancuso,1978-1983,Mancuso,Nick,M,1956,,R:heavy-set,canada
Robert Mandan,,,,M,,,unknown,unknown
Miles Mander,1925-1946,Mander,Lionel,M,1888,,R:character,british
Silvana Mangano,1947-1987,Mangano,Silvana,F,1937,,R:earthy beauty,italian
Karin Mani,,,,F,,,unknown,unknown
Hank Mann,1936-1940,Liebermann,David,M,1887,,R:gargantuan,USA
Guido Mannari,,,,M,,,unknown,unknown
David Manners,1930-1936,\BN{deRyther Duan Acklom,Rauff,M,1901,,R:lead,canada
Lucie Mannheim,1935-1965,Mannheim,Lucie,F,1895,,R:character,german
Ettori Manni,1952-1976,Manni,Ettori,M,1927,,unknown,italian
Irene Manning,1937-1948,Harvuot,Inez,F,1917,,R:lead,USA
Dinah Manoff,,,,F,,,unknown,unknown
Jayne Mansfield,1955-1967,Palmer,Vera Jane,F,1932,,"R:blonde, ample",USA
Clelia Mantania,,,,F,,,unknown,unknown
Paul Mantee,1964-1980,Marianetti,Paul,M,1936,,R:general purose,USA
Joe Mantell,,,,M,,,unknown,unknown
Kiti Manver,,,,F,,,unknown,unknown
Leslie Manville,,,,,,,unknown,unknown
Linda Manz,1978-1980,Manz,Linda,F,1961,,R:lead,USA
David Manzy,,,,M,,,unknown,unknown
Adele Mara,1942-1959,Delgado,Adelaida,F,1923,,R:lead,\Sp-\Am
Jean Marais,1943-1949,Marais-Villain,Jean,M,1913,,"R:romantic, detective",french
Marcel Marceau,,Marceau,Marcel,M,,,R:mime,french
Sophie Marceau,1995-1999,Marceau,Sophie,F,1967,,R:teenager,french
Fredric March,1929-1973,Bickel,Frederick McIntyre,M,1897,,R:intelligent integrity,USA
Hal March,1950-1964,March,Hal,M,1920,,R:comic,USA
Jane March,1992,March,Jane,F,1973,,R:sexy,british
Corinne Marchand,1962-1970,Marchand,Corinne,F,1928,,R:lead,french
Henri Marchand,1931-1956,Marchand,Henri,M,1898,,R:comedy,french
Nancy Marchand,,,,F,,,unknown,unknown
Andrea Marcovicci,,,,F,,,R:singer,USA
Theodore Marcuse,1965-1967,Marcuse,Theodore,M,1920,,R:shaven-pated,USA
Janie Mareze,1931,Mar\`eze,Janie,F,19aa,,R:sr,french
Arthur Margetson,1931-1944,Margetson,Arthur,M,1897,,R:supporting,british
Margo,1933-1963,Boldao y Castillo,Marguerita Maria Guadelupe,F,1918,,R:dancer,spain
Janet Margolin,1962-1989,Margolin,Janet,F,1943,,R:suffering lead,USA
Stuart Margolin,1972-1981,Margolin,Stuart,M,1940,,R:character,USA
Michael Margotta,,,,M,,,unknown,unknown
Cheech Marin,1978-1983,Marin,Richard,M,,,R:crazy comic,
Jacques Marin,1974-1977,Marin,Jacques,,1919,,R:character,french
Rikki Marin,,,,F,,,unknown,unknown
Howard MarionCrawford,1932-1966,Marion-Crawford,Howard,M,1914,,"R:jovial, beefy, sproting",british
Jane March,1994,bn,gn,F,1973,,R:sr,USA
Jane Marken,1915-1958,Marken,Jane,F,1895,,R:character,french
Enid Markey,1915-1918,Markey,Enid,F,1890,,R:jungle girl,USA
Kika Markham,1972-1981,,,F,,,unknown,unknown
Monte Markham,1971-1973,Markham,Monte,M,1935,,R:lead,USA
Ted Markland,,,,M,,,unknown,unknown
John Marley,1952-1980,Marley,John,M,1916,,R:character,USA
Hugh Marlowe,1937-1968,Hipple,Hugh,M,1911,,unknown,USA
Scott Marlowe,1957-1961,Marlowe,Scott,M,,,R:juvenile,USA
Percy Marmont,1925-1956,Marmont,Percy,M,1883,,R:romantic,british
Evaristo Marquez,,,,M,,,unknown,unknown
Sally Marr,,,,F,,,unknown,unknown
Kenneth Mars,1967-1979,Mars,Kenneth,M,1936,,R:character comedian,USA
Carol Marsh,1947-1959,Simpson,Norma,F,1926,,R:lead,british
Garry Marsh,1930-1955,Geraghty,Leslie March,M,1902,,"R:robust, balding",british
Mae Marsh,1912-1960,Marsh,Mary Warne,F,1895,,"R:lead, silent",USA
Marion Marsh,1931-1942,Krauth,Violet,F,1913,,R:lead,USA
Alan Marshal,1936-1959,Marshal,Alan,M,1909,,R:light romantic,australian
Arthur Marshal,1959,Marshal,Arthur,M,,,unknown,\Ct
Brenda Marshall,1939-1950,Marshall,Brenda,F,1915,,R:lead,USA
Bryan Marshall,,,,M,,,unknown,unknown
Connie Marshall,1944-1950,Marshall,Connie,F,1938,,R:child,USA
Don Marshall,,,,M,,,unknown,unknown
E.G. Marshall,1945-1983,Marshall,Everett G.,M,1910,,R:dignified professional,USA
Herbert Marshall,1927-1965,Marshall,Herbert,M,1890,,R:one-legged playboy,british
James Marshall,1992,Marshall,James,M,1967,,R:rebel,USA
Ken Marshall,,,,M,,,unknown,unknown
Penny Marshall,,,,F,,,unknown,unknown
Sarah Marshall,1963,,,F,,,R:young,USA
Tully Marshall,1915-1942,Phillips,William,M,1864,,R:silent,USA
Zena Marshall,1945-1962,Marshall,Zena,F,1926,,R:lead,british
AnneMarie Martin,1984,Martin,Anne-Marie,F,1957,,R:ty,USA
ChrisPin Martin,1934-1953,Martin,Chris-Pin,M,1894,,R:rotund,Yaqui \In
Dean Martin,1949-1978,Crocetti,Dino,M,1917,,R:spoofing singer,USA
Dewey Martin,1949-1972,Martin,Dewey,M,1923,,R:lead,USA
Dick Martin,1968-1972,Martin,Dick,M,1923,,R:comic,USA
Edie Martin,1949-1955,Martin,Edie,F,1880,,"R:frail, tiny old lady",british
Jean Martin,1966,,,M,,,unknown,french
Marion Martin,1940-1954,Martin,Marion,F,1916,,R:blond showgirl,USA
Mary Martin,1939-1979,Martin,Mary,M,1913,,R:musical comedy,USA
Millicent Martin,1960-1969,Martin,Millicent,F,1934,,R:songstress,british
Pamela Sue Martin,1971-1979,Martin,Pamela,F,,,R:teenage detective,USA
Ross Martin,1955-1970,Rosenblatt,Martin,M,1920,,R:character,\Po-\Am
Steve Martin,1978-1991,Martin,Steve,M,1945,,R:comic,USA
Strother Martin,1950-1979,Martin,Strother,M,1920,,R:grizzled westerns,USA
Tony Martin,1936-1957,Norris,Alfred,M,1912,,"R:cabaret singer, lead",USA
Elsa Martinelli,1955-1968,Martinelli,Elsa,F,1933,,R:lead,italian
Frederick Martini,,,,M,,,unknown,unknown
Nino Martini,1935-1948,Martini,Nino,M,1904,,unknown,italian
Al Martino,,,,M,,,unknown,unknown
Leslie Martinson,,Martinson,Leslie H.,F,,,unknown,unknown
Chico Marx,1929-1957,Schoenberg,Leonard,M,1886,,R:zany pianist,USA
Groucho Marx,1929-1974,Schoenberg,Julius,M,1890,,"R:zany, cynical",USA
Harpo Marx,1925-1961,Schoenberg,Adolph (Arthur),M,1888,,"R:childish, mute",USA
Gummo Marx,1929-1961,Schoenberg,Milton,M,1893,,R:zany,USA
Zeppo Marx,1929-1933,Schoenberg,Herbert,M,1901,,R:romantic,USA
Marx Brothers,,Brooks,Marx,G,,,unknown,unknown
Ron Masak,,,,M,,,unknown,unknown
Giulietta Masina,1947-1969,Masina,Giulietta,F,1921,,R:gamin-like,italian
Johnny Mask,,,,M,,,unknown,unknown
Virginia Maskell,1957-1968,Maskell,Virginia,F,1936,,R:soulful eyes,british
Henry Mason,,,,M,,,unknown,unknown
Hilary Mason,1973,,,F,,,unknown,unknown
Jack Mason,,,,M,,,unknown,unknown
James Mason,1935-1984,Mason,James,M,1909,,R:saturnine,british
Marsha Mason,1966-1983,Mason,Marsha,F,1942,,R:lead,USA
Shirley Mason,1915-1929,Flugrath,Leona,F,1900,,"R:lead, silent",USA
Lea Massari,1958-1979,Massari,Lea,F,1933,,R:lead,\Fr-\It
Osa Massen,1939-1950,Massen,Osa,F,1915,,unknown,denmark
Anna Massey,1958-1979,Massey,Anna,F,1937,,R:character,british
Daniel Massey,1957-1980,Massey,Daniel,M,1933,,unknown,british
Edith Massey,1972-1974,Massey,Edith,F,,,R:weird,\Ct
Ilona Massey,1935-1959,Hajmassey,Ilona,F,1912,,R:lead,hungary
Raymond Massey,1931-1973,Massey,Raymond,M,1896,,R:saturnine,canada
Paul Massie,1957-1962,Massie,Paul,M,1932,,unknown,canada
Mary Stuart Masterson,1974-1992,,,F,1967,,unknown,unknown
Peter Masterson,,,,M,,,unknown,unknown
Sean Masterson,,,,M,,,unknown,unknown
Mary Elizabeth Mastrantonio,,,,F,,,unknown,unknown
Chiara Mastroianni,1992-1997,Mastroianni,Chiara,F,1972,,"Ch(Marcello Mastroianni, Catherine Deneuve)",|
Marcello Mastroianni,1947-1992,Mastroianni,Marcello,M,1923,,R:charmer,italian
Richard Masur,1975-1984,Masur,Richard,M,,,R:plump,USA
Clelia Matania,1973,,,F,,,unknown,unknown
Julian Mateus,,,,M,,,unknown,unknown
Aubrey Mather,1931-1958,Mather,Aubrey,M,1885,,R:bald butler,british
James Mathers,,,,M,,,unknown,unknown
Murray Matheson,1952-1967,Matheson,Murray,M,1912,,R:soft-spoken,british
Tim Matheson,1965-1983,Matthieson,Tim,M,1926,,R:lead,USA
Kerwin Mathews,1955-1978,Mathews,Kerwin,M,1926,,R:lead,USA
Walter Matthau,1955-1983,Mathasschanskayasky,Walter,M,1920,,R:wry,USA
A.E. Matthews,1914-1960,Matthews,A.E.,M,1869,,"R:romantic, later crotchety",british
Jessie Matthews,1923-1979,Matthews,Jessie,F,1907,,R:vivacious,british
Lester Matthews,1931-1951,Matthews,Lester,M,1900,,unknown,british
Peter Matthey,,,,M,,,unknown,unknown
Robin Mattson,,,,F,,,R:sexy,USA
Victor Mature,1939-1979,Mature,Victor,M,1915,,R:stylish hunk,USA
Billy Mauch,1937,Mauch,William,M,1925,,R:sr,\Ct
Bobby Mauch,1937,Mauch,Robert,M,1925,,R:sr,\Ct
Cyril Maude,1930,Fn,Gn,M,,,unknown,unknown
Carmen Maura,1986-1988,,,F,,,R:sexy,spain
Nicole Maurey,1951-1962,Maurey,Nicole,F,1925,,R:lead,french
Edwin Maxwell,1927-1947,Maxwell,Edwin,M,1886,,"R:stocky, balding",USA
Elsa Maxwell,1939-1943,Maxwell,Elsa,F,1883,,R:dumpy columnist,USA
Lois Maxwell,1947-1980,Hooker,Lois,F,1927,,R:secretary,canada
Marilyn Maxwell,1942-1964,Maxwell,Marvel,F,1921,,R:blonde singer,USA
Elaine May,1967-1972,May,Elaine,F,1932,,R:cabaret star,USA
Mathilda May,1990,May,Mathilda,F,1965,,R:dancer,german
Russ Mayberry,,Maxwell,Russ,M,,,unknown,unknown
Eddie Mayehoff,1951-1965,Mayehoff,Eddie,M,1911,,"R:comic, band leader",USA
Peter Mayhew,1980,,,M,,,R:speaking animal,USA
Bill Maynard,1969-1976,Maynard,Bill,M,1928,,R:massive comic,british
Ken Maynard,1924-1945,Maynard,Ken,M,1895,,R:cowboy,USA
Ferdy Mayne,1944-1983,Mayer-Boerckel,Ferdinand,M,1916,,R:smooth villain,german
